T_s,T_over_P,safe,cond_phi_rv,dv1_m_s,dv2_m_s,dv_total_m_s,closure_error_m
300.000000,0.05401878,True,1.058714e+00,3.223721,3.223899,6.447620,3.553e-15
305.000000,0.05491909,True,1.060727e+00,3.172540,3.172722,6.345262,1.137e-13
310.000000,0.05581940,True,1.062775e+00,3.123028,3.123212,6.246240,0.000e+00
315.000000,0.05671972,True,1.064859e+00,3.075103,3.075290,6.150393,1.271e-13
320.000000,0.05762003,True,1.066980e+00,3.028692,3.028882,6.057573,0.000e+00
325.000000,0.05852034,True,1.069137e+00,2.983723,2.983916,5.967639,5.684e-14
330.000000,0.05942066,True,1.071330e+00,2.940131,2.940327,5.880458,0.000e+00
335.000000,0.06032097,True,1.073560e+00,2.897854,2.898053,5.795907,0.000e+00
340.000000,0.06122128,True,1.075826e+00,2.856833,2.857035,5.713868,2.274e-13
345.000000,0.06212160,True,1.078130e+00,2.817014,2.817218,5.634232,5.684e-14
350.000000,0.06302191,True,1.080470e+00,2.778344,2.778551,5.556895,0.000e+00
355.000000,0.06392222,True,1.082848e+00,2.740774,2.740984,5.481758,3.553e-15
360.000000,0.06482253,True,1.085262e+00,2.704259,2.704472,5.408730,1.271e-13
365.000000,0.06572285,True,1.087715e+00,2.668754,2.668970,5.337723,3.553e-15
370.000000,0.06662316,True,1.090205e+00,2.634218,2.634437,5.268655,1.271e-13
375.000000,0.06752347,True,1.092732e+00,2.600612,2.600834,5.201446,5.684e-14
380.000000,0.06842379,True,1.095298e+00,2.567899,2.568123,5.136023,0.000e+00
385.000000,0.06932410,True,1.097902e+00,2.536044,2.536271,5.072315,0.000e+00
390.000000,0.07022441,True,1.100544e+00,2.505013,2.505243,5.010256,3.553e-15
395.000000,0.07112473,True,1.103224e+00,2.474775,2.475007,4.949782,3.553e-15
400.000000,0.07202504,True,1.105943e+00,2.445299,2.445535,4.890834,5.684e-14
405.000000,0.07292535,True,1.108701e+00,2.416557,2.416796,4.833353,1.272e-13
410.000000,0.07382566,True,1.111498e+00,2.388523,2.388764,4.777286,1.137e-13
415.000000,0.07472598,True,1.114334e+00,2.361169,2.361412,4.722581,0.000e+00
420.000000,0.07562629,True,1.117209e+00,2.334471,2.334717,4.669188,3.553e-15
425.000000,0.07652660,True,1.120124e+00,2.308406,2.308655,4.617061,1.137e-13
430.000000,0.07742692,True,1.123079e+00,2.282951,2.283203,4.566154,3.553e-15
435.000000,0.07832723,True,1.126073e+00,2.258085,2.258340,4.516425,1.271e-13
440.000000,0.07922754,True,1.129108e+00,2.233788,2.234045,4.467833,1.137e-13
445.000000,0.08012785,True,1.132182e+00,2.210039,2.210300,4.420339,1.271e-13
450.000000,0.08102817,True,1.135297e+00,2.186821,2.187085,4.373906,2.344e-13
455.000000,0.08192848,True,1.138453e+00,2.164116,2.164382,4.328498,3.553e-15
460.000000,0.08282879,True,1.141650e+00,2.141906,2.142175,4.284082,5.684e-14
465.000000,0.08372911,True,1.144888e+00,2.120176,2.120448,4.240624,1.608e-13
470.000000,0.08462942,True,1.148167e+00,2.098909,2.099184,4.198093,5.684e-14
475.000000,0.08552973,True,1.151488e+00,2.078091,2.078369,4.156460,0.000e+00
480.000000,0.08643005,True,1.154850e+00,2.057708,2.057988,4.115696,5.695e-14
485.000000,0.08733036,True,1.158255e+00,2.037745,2.038028,4.075773,3.553e-15
490.000000,0.08823067,True,1.161701e+00,2.018190,2.018475,4.036665,5.695e-14
495.000000,0.08913098,True,1.165190e+00,1.999029,1.999318,3.998347,0.000e+00
500.000000,0.09003130,True,1.168721e+00,1.980252,1.980543,3.960795,1.137e-13
505.000000,0.09093161,True,1.172296e+00,1.961846,1.962139,3.923985,5.695e-14
510.000000,0.09183192,True,1.175913e+00,1.943799,1.944095,3.887894,5.695e-14
515.000000,0.09273224,True,1.179574e+00,1.926102,1.926401,3.852503,5.695e-14
520.000000,0.09363255,True,1.183278e+00,1.908744,1.909045,3.817789,1.272e-13
525.000000,0.09453286,True,1.187026e+00,1.891714,1.892019,3.783733,5.684e-14
530.000000,0.09543318,True,1.190817e+00,1.875004,1.875311,3.750315,5.684e-14
535.000000,0.09633349,True,1.194654e+00,1.858604,1.858914,3.717519,5.684e-14
