label,T_s,T_min,T_over_P,safe,cond_phi_rv,dv1_m_s,dv2_m_s,dv_total_m_s,closure_error_m
300 s,300.000000,5.000000,0.05401878,True,1.058714e+00,3.223721,3.223899,6.447620,3.553e-15
600 s,600.000000,10.000000,0.10803756,True,1.248668e+00,1.670008,1.670353,3.340361,0.000e+00
900 s,900.000000,15.000000,0.16205634,True,1.615078e+00,1.141943,1.142448,2.284391,1.137e-13
1200 s,1200.000000,20.000000,0.21607511,True,2.249902e+00,0.856969,0.857641,1.714610,1.137e-13
1800 s (M2 reference),1800.000000,30.000000,0.32411267,True,5.289677e+00,0.531719,0.532801,1.064520,1.608e-13
2400 s,2400.000000,40.000000,0.43215023,True,2.015613e+01,0.354635,0.356256,0.710891,1.137e-13
just before singular exclusion zone,2776.792136,46.279869,0.49999640,True,4.814267e+05,1500.000024,1500.000024,3000.000048,3.553e-15
just after singular exclusion zone,2776.832136,46.280536,0.50000360,True,4.814388e+05,1500.000024,1500.000024,3000.000048,0.000e+00
3600 s,3600.000000,60.000000,0.64822534,True,1.998243e+01,0.158765,0.162352,0.321117,1.421e-14
4200 s,4200.000000,70.000000,0.75626290,True,1.845629e+01,0.106149,0.111443,0.217592,1.421e-14
4800 s,4800.000000,80.000000,0.86430046,True,2.566634e+01,0.078678,0.085686,0.164364,2.274e-13
5100 s,5100.000000,85.000000,0.91831924,True,3.926261e+01,0.086821,0.093219,0.180040,0.000e+00
refined minimum-dv (branch 2),4868.130152,81.135503,0.87656815,True,2.762393e+01,0.078205,0.085253,0.163457,2.274e-13
