T_s,T_over_P,m3_numerically_safe,m4_geometry_safe,cond_phi_rv,dv_total_m_s,min_distance_m,min_clearance_outside_corridor_m,min_y_m,max_y_m,koz_violation,corridor_violation,chief_crossing_violation,violation_reason,closure_error_m
300.000000,0.05401878,True,True,1.058714e+00,6.447620,50.000000,1.303623,-1000.000000,-50.000000,False,False,False,none,3.553e-15
310.000000,0.05581940,True,True,1.062775e+00,6.246240,50.000000,1.390944,-1000.000000,-50.000000,False,False,False,none,0.000e+00
320.000000,0.05762003,True,True,1.066980e+00,6.057573,50.000000,1.481076,-1000.000000,-50.000000,False,False,False,none,0.000e+00
330.000000,0.05942066,True,True,1.071330e+00,5.880458,50.000000,1.574053,-1000.000000,-50.000000,False,False,False,none,0.000e+00
340.000000,0.06122128,True,True,1.075826e+00,5.713868,50.000000,1.669858,-1000.000000,-50.000000,False,False,False,none,2.274e-13
350.000000,0.06302191,True,True,1.080470e+00,5.556895,50.000000,1.768481,-1000.000000,-50.000000,False,False,False,none,0.000e+00
360.000000,0.06482253,True,True,1.085262e+00,5.408730,50.000000,1.869893,-1000.000000,-50.000000,False,False,False,none,1.271e-13
370.000000,0.06662316,True,True,1.090205e+00,5.268655,50.000000,1.974148,-1000.000000,-50.000000,False,False,False,none,1.271e-13
380.000000,0.06842379,True,True,1.095298e+00,5.136023,50.000000,0.875231,-1000.000000,-50.000000,False,False,False,none,0.000e+00
390.000000,0.07022441,True,False,1.100544e+00,5.010256,50.000000,-0.445756,-1000.000000,-50.000000,True,False,False,koz_violation,3.553e-15
400.000000,0.07202504,True,False,1.105943e+00,4.890834,50.000000,-1.697156,-1000.000000,-50.000000,True,False,False,koz_violation,5.684e-14
410.000000,0.07382566,True,False,1.111498e+00,4.777286,50.000000,-2.884320,-1000.000000,-50.000000,True,False,False,koz_violation,1.137e-13
420.000000,0.07562629,True,False,1.117209e+00,4.669188,50.000000,-4.012198,-1000.000000,-50.000000,True,True,False,"corridor_violation,koz_violation",3.553e-15
430.000000,0.07742692,True,False,1.123079e+00,4.566154,50.000000,-5.085125,-1000.000000,-50.000000,True,True,False,"corridor_violation,koz_violation",3.553e-15
440.000000,0.07922754,True,False,1.129108e+00,4.467833,50.000000,-6.107090,-1000.000000,-50.000000,True,True,False,"corridor_violation,koz_violation",1.137e-13
450.000000,0.08102817,True,False,1.135297e+00,4.373906,50.000000,-7.081669,-1000.000000,-50.000000,True,True,False,"corridor_violation,koz_violation",2.344e-13
